id,user_uuid,user_id,post_id,content,created_at,updated_at
350,123e4567-e89b-12d3-a456-426614170027,28,30,"새로 산 라켓이 가볍고 좋다니 부럽네요",2025-06-05T15:30:00.000Z,2025-06-05T15:30:00.000Z
351,123e4567-e89b-12d3-a456-426614170037,38,30,"가격대는 어떻게 되나요?",2025-06-05T15:45:00.000Z,2025-06-05T15:45:00.000Z
352,123e4567-e89b-12d3-a456-426614170047,48,30,"라켓 무게 차이가 많이 나나요?",2025-06-05T16:00:00.000Z,2025-06-05T16:00:00.000Z
353,123e4567-e89b-12d3-a456-426614170017,18,31,"프로 테니스 경기 직접 보시다니 부럽네요!",2025-06-05T16:15:00.000Z,2025-06-05T16:15:00.000Z
354,123e4567-e89b-12d3-a456-426614170027,28,31,"어떤 선수들 경기였나요?",2025-06-05T16:30:00.000Z,2025-06-05T16:30:00.000Z
355,123e4567-e89b-12d3-a456-426614170037,38,31,"현장에서 보니까 어떤 기분이셨나요?",2025-06-05T16:45:00.000Z,2025-06-05T16:45:00.000Z
356,123e4567-e89b-12d3-a456-426614170017,18,32,"매일 연습하시는 거 대단해요!",2025-06-05T17:15:00.000Z,2025-06-05T17:15:00.000Z
357,123e4567-e89b-12d3-a456-426614170027,28,32,"실력 향상 느끼시나요?",2025-06-05T17:30:00.000Z,2025-06-05T17:30:00.000Z
358,123e4567-e89b-12d3-a456-426614170037,38,32,"연습 일지 쓰는 것도 도움될 것 같아요",2025-06-05T17:45:00.000Z,2025-06-05T17:45:00.000Z
359,123e4567-e89b-12d3-a456-426614170035,36,33,"다이어트 식단 구성 정말 잘하셨네요!",2025-06-05T18:15:00.000Z,2025-06-05T18:15:00.000Z
360,123e4567-e89b-12d3-a456-426614170055,56,33,"칼로리 계산은 어떻게 하세요?",2025-06-05T18:30:00.000Z,2025-06-05T18:30:00.000Z
361,123e4567-e89b-12d3-a456-426614170075,76,33,"식단 짜는게 정말 어려워요",2025-06-05T18:45:00.000Z,2025-06-05T18:45:00.000Z
362,123e4567-e89b-12d3-a456-426614170015,16,34,"다이어트 레시피 공유 감사해요!",2025-06-05T19:15:00.000Z,2025-06-05T19:15:00.000Z
363,123e4567-e89b-12d3-a456-426614170055,56,34,"만들기 어렵지 않나요?",2025-06-05T19:30:00.000Z,2025-06-05T19:30:00.000Z
364,123e4567-e89b-12d3-a456-426614170075,76,34,"다이어트 앱 추천해주세요",2025-06-05T19:45:00.000Z,2025-06-05T19:45:00.000Z
365,123e4567-e89b-12d3-a456-426614170015,16,35,"힘들 때가 있죠... 화이팅!",2025-06-05T20:15:00.000Z,2025-06-05T20:15:00.000Z
366,123e4567-e89b-12d3-a456-426614170035,36,35,"산책도 좋은 방법이네요",2025-06-05T20:30:00.000Z,2025-06-05T20:30:00.000Z
367,123e4567-e89b-12d3-a456-426614170075,76,35,"스트레스 받을 때 운동이 답이죠",2025-06-05T20:45:00.000Z,2025-06-05T20:45:00.000Z
368,123e4567-e89b-12d3-a456-426614170015,16,36,"식단 짜는게 정말 어려워요",2025-06-05T21:15:00.000Z,2025-06-05T21:15:00.000Z
