"id","title","user_uuid","content","image_url","is_public","created_at","updated_at"
1,소도구 필라테스,"123e4567-e89b-12d3-a456-426614170033",오늘은 색다르게 소도구를 이용한 수업을 해보았습니다! 작은거로 풀어주니까 더 시원한 느낌이네요,"https://plus.unsplash.com/premium_photo-1671028547976-4b1e3300a350?q=80&w=2940&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,https://images.unsplash.com/photo-1717500252573-d31d4bf5ddf1?q=80&w=2940&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,https://images.unsplash.com/photo-1717500250901-9f4c8bd96a9d?q=80&w=3087&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",true,2025-06-04 18:55:07.469 +0900,2025-06-04 18:55:07.469 +0900
2,바디프로필 운동 루틴,"123e4567-e89b-12d3-a456-426614170050",바디프로필 준비를 위한 운동 루틴을 음 3분할로 생각하고 있는데 하루에 운동할 수 있는 시간은 한시간 정도에요. 어떻게 하는걸 추천하시나요 다들..??,https://plus.unsplash.com/premium_photo-1664475922946-d01445240652?q=80&w=3987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,false,2025-06-04 18:55:07.469 +0900,2025-06-04 18:55:07.469 +0900
3,홈트 인증샷 공유,"123e4567-e89b-12d3-a456-426614170011",매일 꾸준히 홈트하는 습관을 들이고 있어요.,"https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&h=600&fit=crop,https://plus.unsplash.com/premium_photo-1664476325264-f1dab37eaa7a?q=80&w=3871&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,https://plus.unsplash.com/premium_photo-1671028547976-4b1e3300a350?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",true,2025-06-03 18:55:07.469 +0900,2025-06-03 18:55:07.469 +0900
4,홈트 인증샷 공유,"123e4567-e89b-12d3-a456-426614170075",매일 꾸준히 홈트하는 습관을 들이고 있어요.,https://images.unsplash.com/photo-1734873477108-6837b02f2b9d?q=80&w=3468&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,true,2025-06-03 18:55:07.469 +0900,2025-06-03 18:55:07.469 +0900
5,랫풀다운 해보는데 운동자세 이거 맞아요?,"123e4567-e89b-12d3-a456-426614170000",헬스 고수분들 도와주세요 ㅠㅠ,"https://images.unsplash.com/photo-1605296867424-35fc25c9212a?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1540497077202-7c8a3999166f?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1549060279-7e168fcee0c2?w=800&h=600&fit=crop",true,2025-06-03 18:55:07.469 +0900,2025-06-03 18:55:07.469 +0900
6,랫풀다운 해보는데 운동자세 이거 맞아요?,"123e4567-e89b-12d3-a456-426614170061",헬스 고수분들 도와주세요 ㅠㅠ,https://images.unsplash.com/photo-1540497077202-7c8a3999166f?w=800&h=600&fit=crop,true,2025-06-03 18:55:07.469 +0900,2025-06-03 18:55:07.469 +0900
7,웨이트 트레이닝 루틴 추천받아요,"123e4567-e89b-12d3-a456-426614170064",오늘은 하체 위주로 웨이트를 했습니다. 다들 어떤식으로 운동 루틴을 짜시나요?,https://images.unsplash.com/photo-1540497077202-7c8a3999166f?w=800&h=600&fit=crop,true,2025-06-03 18:55:07.469 +0900,2025-06-03 18:55:07.469 +0900
8,ㅇㅇㅇ,"123e4567-e89b-12d3-a456-426614170096",그립 새로 샀는데 참 좋네요. 역시 운동은 장비빨!,"https://images.unsplash.com/photo-1540497077202-7c8a3999166f?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1574680096145-d05b474e2155?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1605296867424-35fc25c9212a?w=800&h=600&fit=crop",true,2025-06-03 18:55:07.469 +0900,2025-06-03 18:55:07.469 +0900
9,라이딩 장비 리뷰,"123e4567-e89b-12d3-a456-426614170023",새로 산 라이딩 장비가 정말 마음에 들어요.,"https://images.unsplash.com/photo-1632050592122-6b730e1ac63f?q=80&w=1843&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,https://plus.unsplash.com/premium_photo-1685207267343-1c8852b45575?w=800&h=600&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,https://plus.unsplash.com/premium_photo-1683442814148-78aa260ac18e?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",true,2025-06-03 18:55:07.469 +0900,2025-06-03 18:55:07.469 +0900
10,홈트 인증샷 공유,"123e4567-e89b-12d3-a456-426614170000",매일 꾸준히 홈트하는 습관을 들이고 있어요.,"https://plus.unsplash.com/premium_photo-1664300607508-f8fce5d434b4?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,https://images.unsplash.com/photo-1734873477108-6837b02f2b9d?q=80&w=3468&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,https://plus.unsplash.com/premium_photo-1671028547976-4b1e3300a350?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",true,2025-06-02 18:55:07.469 +0900,2025-06-02 18:55:07.469 +0900
